label,english_dir,chinese_name,count
0,"Corn_(maize)___Common_rust_","玉米 - 普通锈病",1192
1,"Corn_(maize)___Northern_Leaf_Blight","玉米 - 北方叶枯病",985
2,"Pepper,_bell___Bacterial_spot","甜椒 - 细菌性斑点病",997
3,"Potato___Early_blight","马铃薯 - 早疫病",1000
4,"Potato___Late_blight","马铃薯 - 晚疫病",1000
5,"Squash___Powdery_mildew","南瓜/西葫芦 - 白粉病",1835
6,"Tomato___Bacterial_spot","番茄 - 细菌性斑点病",2127
7,"Tomato___Late_blight","番茄 - 晚疫病",1909
8,"Tomato___Septoria_leaf_spot","番茄 - 斑枯病/壳针孢叶斑病",1771
9,"Tomato___Spider_mites Two-spotted_spider_mite","番茄 - 二斑叶螨危害",1676
10,"Tomato___Tomato_mosaic_virus","番茄 - 番茄花叶病毒病",373
11,"Tomato___Tomato_Yellow_Leaf_Curl_Virus","番茄 - 番茄黄化曲叶病毒病",5357
