figure,title,type,source,png,pdf,tif
Fig01,Detailed framework,method schematic,script-defined method flow,reproduced_figures/Main_Figures/Fig01_Detailed_Framework.png,reproduced_figures/Main_Figures/Fig01_Detailed_Framework.pdf,reproduced_figures/Main_Figures/Fig01_Detailed_Framework.tif
Fig02,Representative dataset images,real image plate,source_data/representative_images,reproduced_figures/Main_Figures/Fig02_Representative_Dataset_Images.png,reproduced_figures/Main_Figures/Fig02_Representative_Dataset_Images.pdf,reproduced_figures/Main_Figures/Fig02_Representative_Dataset_Images.tif
Fig03,Post-hoc many-to-one mapping,method schematic,script-defined schematic,reproduced_figures/Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.png,reproduced_figures/Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.pdf,reproduced_figures/Main_Figures/Fig03_PostHoc_ManyToOne_Mapping.tif
Fig04,Main C3 results,bar chart,source_data/main_results/clean_main.csv,reproduced_figures/Main_Figures/Fig04_Main_C3_Results.png,reproduced_figures/Main_Figures/Fig04_Main_C3_Results.pdf,reproduced_figures/Main_Figures/Fig04_Main_C3_Results.tif
Fig05,All vs retained clustering metrics,bar chart,source_data/main_results/summary_all_vs_kept_cluster_metrics.csv,reproduced_figures/Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.png,reproduced_figures/Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.pdf,reproduced_figures/Main_Figures/Fig05_All_vs_Retained_Clustering_Metrics.tif
Fig06,Fair dimensionality reduction,bar chart,source_data/main_results/fair_reduction_5seeds.csv,reproduced_figures/Main_Figures/Fig06_Fair_Dimensionality_Reduction.png,reproduced_figures/Main_Figures/Fig06_Fair_Dimensionality_Reduction.pdf,reproduced_figures/Main_Figures/Fig06_Fair_Dimensionality_Reduction.tif
Fig07,Parameter sensitivity,bar chart,source_data/main_results/parameter_sensitivity_5seeds.csv,reproduced_figures/Main_Figures/Fig07_Parameter_Sensitivity.png,reproduced_figures/Main_Figures/Fig07_Parameter_Sensitivity.pdf,reproduced_figures/Main_Figures/Fig07_Parameter_Sensitivity.tif
Fig08,External DINOv2 baseline,errorbar scatter,source_data/dinov2/summary_convnext_vs_dinov2_key.csv,reproduced_figures/Main_Figures/Fig08_External_DINOv2_Baseline.png,reproduced_figures/Main_Figures/Fig08_External_DINOv2_Baseline.pdf,reproduced_figures/Main_Figures/Fig08_External_DINOv2_Baseline.tif
Fig09,Weak and high-rejection classes,horizontal bars,source_data/confusion_matrices/weak_or_high_rejection_classes_5seed.csv,reproduced_figures/Main_Figures/Fig09_Weak_and_HighRejection_Classes.png,reproduced_figures/Main_Figures/Fig09_Weak_and_HighRejection_Classes.pdf,reproduced_figures/Main_Figures/Fig09_Weak_and_HighRejection_Classes.tif
Fig10a,PV-Fruit retained confusion matrix,standalone heatmap,source_data/confusion_matrices/PV-Fruit_kept.csv,reproduced_figures/Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.png,reproduced_figures/Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.pdf,reproduced_figures/Main_Figures/Fig10a_PV_Fruit_Kept_Confusion_Matrix.tif
Fig10b,PV-Vegetable retained confusion matrix,standalone heatmap,source_data/confusion_matrices/PV-Vegetable_kept.csv,reproduced_figures/Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.png,reproduced_figures/Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.pdf,reproduced_figures/Main_Figures/Fig10b_PV_Vegetable_Kept_Confusion_Matrix.tif
Fig10c,MCLD-11 retained confusion matrix,standalone heatmap,source_data/confusion_matrices/MCLD-11_kept.csv,reproduced_figures/Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.png,reproduced_figures/Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.pdf,reproduced_figures/Main_Figures/Fig10c_MCLD_11_Kept_Confusion_Matrix.tif
