true_class,Cashew - leaf miner,Cashew - red rust,Corn - leaf blight,Corn - streak virus,Potato - fungi,Potato - nematode,Rice - bacterial leaf blight,Rice - brown spot,Rice - leaf blast,Tomato - septoria leaf spot,Tomato - Verticillium wilt,Rejected
Cashew - leaf miner,0.7243243243243243,0.0018018018018018018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27387387387387385
Cashew - red rust,0.00495575221238938,0.6941592920353982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30088495575221236
Corn - leaf blight,0.0,0.0,0.5800000000000001,0.10693877551020407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3130612244897959
Corn - streak virus,0.0,0.0,0.036272040302267,0.6347607052896725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289672544080604
Potato - fungi,0.0,0.0,0.0,0.0,0.6844559585492229,0.052849740932642476,0.0,0.0,0.0,0.0,0.0,0.2626943005181347
Potato - nematode,0.0,0.0,0.0,0.0,0.2,0.6852941176470588,0.0,0.0,0.0,0.0,0.0,0.11470588235294119
Rice - bacterial leaf blight,0.0,0.0,0.0,0.0006060606060606061,0.0,0.0,0.907878787878788,0.006060606060606061,0.0,0.0,0.0,0.08545454545454545
Rice - brown spot,0.0,0.0,0.0,0.0,0.0,0.0,0.004923076923076923,0.6719999999999999,0.16984615384615387,0.0,0.0,0.15323076923076923
Rice - leaf blast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10479041916167667,0.7676646706586827,0.0,0.0,0.12754491017964073
Tomato - septoria leaf spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947148817802503,0.13073713490959665,0.274547983310153
Tomato - Verticillium wilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07845468053491829,0.5402674591381873,0.3812778603268945
