true_class,Cashew - leaf miner,Cashew - red rust,Corn - leaf blight,Corn - streak virus,Potato - fungi,Potato - nematode,Rice - bacterial leaf blight,Rice - brown spot,Rice - leaf blast,Tomato - septoria leaf spot,Tomato - Verticillium wilt
Cashew - leaf miner,0.9974777678334575,0.0025222321665424054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cashew - red rust,0.007093017743526499,0.9929069822564734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn - leaf blight,0.0,0.0,0.8388068626223619,0.16119313737763802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn - streak virus,0.0,0.0,0.05252005501738446,0.9474799449826156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potato - fungi,0.0,0.0,0.0,0.0,0.9268681646074777,0.07313183539252235,0.0,0.0,0.0,0.0,0.0
Potato - nematode,0.0,0.0,0.0,0.0,0.22551253749463873,0.7744874625053613,0.0,0.0,0.0,0.0,0.0
Rice - bacterial leaf blight,0.0,0.0,0.0,0.0006134969325153375,0.0,0.0,0.9927413240374048,0.006645179030080049,0.0,0.0,0.0
Rice - brown spot,0.0,0.0,0.0,0.0,0.0,0.0,0.005990492226325655,0.797041199637,0.19696830813667437,0.0,0.0
Rice - leaf blast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987317354879685,0.8801268264512032,0.0,0.0
Tomato - septoria leaf spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205107718806322,0.1794892281193679
Tomato - Verticillium wilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12965564601790422,0.8703443539820958
