true_class,Corn - common rust,Corn - northern leaf blight,Bell pepper - bacterial spot,Potato - early blight,Potato - late blight,Squash - powdery mildew,Tomato - bacterial spot,Tomato - late blight,Tomato - septoria leaf spot,Tomato - two-spotted spider mite,Tomato - mosaic virus,Tomato - yellow leaf curl virus,Rejected
Corn - common rust,0.960738255033557,0.0006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03859060402684564
Corn - northern leaf blight,0.0020304568527918783,0.9175634517766497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08040609137055837
Bell pepper - bacterial spot,0.0,0.0,0.8559679037111334,0.0,0.0,0.0,0.0,0.0,0.004012036108324975,0.0,0.0,0.0,0.14002006018054164
Potato - early blight,0.0,0.0,0.0,0.7872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21280000000000002
Potato - late blight,0.0,0.0,0.0,0.0,0.9838000000000001,0.0,0.0,0.007400000000000001,0.0,0.0,0.0,0.0,0.008799999999999999
Squash - powdery mildew,0.0,0.0,0.0,0.0,0.0,0.782016348773842,0.0,0.0,0.0,0.0,0.0,0.0,0.21798365122615806
Tomato - bacterial spot,0.0,0.0,0.0,0.0,0.0,0.0,0.7828866948754114,0.0037611659614480487,0.0,0.0,0.0,0.0,0.21335213916314055
Tomato - late blight,0.0,0.0,0.0,0.00010520778537611783,0.0,0.0,0.0009468700683850605,0.7948448185165702,0.0,0.0,0.0,0.0005260389268805891,0.203577064702788
Tomato - septoria leaf spot,0.0,0.0,0.0,0.0018068887634105023,0.0,0.0,0.0027103331451157537,0.0,0.8739695087521173,0.003500846979107849,0.0,0.0,0.11801242236024842
Tomato - two-spotted spider mite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775656324582339,0.0,0.00035799522673031026,0.022076372315035796
Tomato - mosaic virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tomato - yellow leaf curl virus,0.0,0.0,0.0,0.0,0.0,0.0,0.020272540601082696,0.0,0.0,0.0015680418144483853,0.0,0.6906477506066828,0.2875116669777861
