acc_kept,class_id,class_name,dataset,kept,rejected,rejection_rate,seed,total
0.9941520467836257,0,Apple - apple scab,F_new,513,117,0.18571428571428572,11,630
1.0,1,Apple - black rot,F_new,451,170,0.27375201288244766,11,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,11,275
1.0,3,Cherry - powdery mildew,F_new,623,429,0.40779467680608367,11,1052
1.0,4,Grape - esca black measles,F_new,1083,300,0.21691973969631237,11,1383
1.0,5,Grape - leaf blight,F_new,715,361,0.3355018587360595,11,1076
1.0,6,Orange - citrus greening,F_new,2949,2558,0.4644997276193935,11,5507
1.0,7,Peach - bacterial spot,F_new,1340,957,0.41663038746190684,11,2297
1.0,8,Strawberry - leaf scorch,F_new,815,294,0.2651036970243463,11,1109
0.9903846153846154,0,Apple - apple scab,F_new,624,6,0.009523809523809525,22,630
1.0,1,Apple - black rot,F_new,460,161,0.25925925925925924,22,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,22,275
1.0,3,Cherry - powdery mildew,F_new,905,147,0.1397338403041825,22,1052
1.0,4,Grape - esca black measles,F_new,742,641,0.46348517715112075,22,1383
1.0,5,Grape - leaf blight,F_new,598,478,0.44423791821561337,22,1076
1.0,6,Orange - citrus greening,F_new,3393,2114,0.38387506809515165,22,5507
1.0,7,Peach - bacterial spot,F_new,1201,1096,0.47714410100130605,22,2297
1.0,8,Strawberry - leaf scorch,F_new,737,372,0.33543733092876465,22,1109
0.9899193548387096,0,Apple - apple scab,F_new,496,134,0.2126984126984127,33,630
1.0,1,Apple - black rot,F_new,447,174,0.28019323671497587,33,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,33,275
1.0,3,Cherry - powdery mildew,F_new,625,427,0.405893536121673,33,1052
1.0,4,Grape - esca black measles,F_new,931,452,0.32682574114244395,33,1383
1.0,5,Grape - leaf blight,F_new,302,774,0.7193308550185874,33,1076
1.0,6,Orange - citrus greening,F_new,3295,2212,0.401670601053205,33,5507
1.0,7,Peach - bacterial spot,F_new,1318,979,0.4262080975185024,33,2297
1.0,8,Strawberry - leaf scorch,F_new,835,274,0.24706943192064923,33,1109
0.9941520467836257,0,Apple - apple scab,F_new,513,117,0.18571428571428572,44,630
1.0,1,Apple - black rot,F_new,448,173,0.2785829307568438,44,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,44,275
1.0,3,Cherry - powdery mildew,F_new,707,345,0.3279467680608365,44,1052
1.0,4,Grape - esca black measles,F_new,952,431,0.3116413593637021,44,1383
1.0,5,Grape - leaf blight,F_new,723,353,0.32806691449814124,44,1076
1.0,6,Orange - citrus greening,F_new,2656,2851,0.5177047394225531,44,5507
1.0,7,Peach - bacterial spot,F_new,1293,1004,0.4370918589464519,44,2297
1.0,8,Strawberry - leaf scorch,F_new,765,344,0.3101893597835888,44,1109
0.9918962722852512,0,Apple - apple scab,F_new,617,13,0.020634920634920634,55,630
1.0,1,Apple - black rot,F_new,452,169,0.2721417069243156,55,621
