calinski_harabasz,dataset,davies_bouldin,dim,k,method,reduction,seed,silhouette,subset
106586.4,F_new,1.0020071933130204,100,60,all3,umap,11,0.36775863,exact_dedup_clean
106586.4,F_new,1.0020071933130204,100,60,any2,umap,11,0.36775863,exact_dedup_clean
106586.4,F_new,1.0020071933130204,100,60,kmeans,umap,11,0.36775863,exact_dedup_clean
91956.08,F_new,1.106932475065856,100,60,birch,umap,11,0.3257721,exact_dedup_clean
100116.73,F_new,1.0343244260370916,100,60,agg,umap,11,0.3364326,exact_dedup_clean
113980.56,F_new,0.957142435051976,100,60,all3,umap,22,0.3663163,exact_dedup_clean
113980.56,F_new,0.957142435051976,100,60,any2,umap,22,0.3663163,exact_dedup_clean
113980.56,F_new,0.957142435051976,100,60,kmeans,umap,22,0.3663163,exact_dedup_clean
99287.695,F_new,1.1017870631542017,100,60,birch,umap,22,0.32367957,exact_dedup_clean
106990.92,F_new,1.0119206593803638,100,60,agg,umap,22,0.3359236,exact_dedup_clean
96042.92,F_new,1.0009178618942824,100,60,all3,umap,33,0.35154092,exact_dedup_clean
96042.92,F_new,1.0009178618942824,100,60,any2,umap,33,0.35154092,exact_dedup_clean
96042.92,F_new,1.0009178618942824,100,60,kmeans,umap,33,0.35154092,exact_dedup_clean
84766.2,F_new,1.074298387469937,100,60,birch,umap,33,0.32811272,exact_dedup_clean
91346.99,F_new,1.0249879433617444,100,60,agg,umap,33,0.3345512,exact_dedup_clean
105124.05,F_new,1.0282796476266491,100,60,all3,umap,44,0.35108194,exact_dedup_clean
105124.05,F_new,1.0282796476266491,100,60,any2,umap,44,0.35108194,exact_dedup_clean
105124.05,F_new,1.0282796476266491,100,60,kmeans,umap,44,0.35108194,exact_dedup_clean
92294.4,F_new,1.0662516849317454,100,60,birch,umap,44,0.3285353,exact_dedup_clean
98466.53,F_new,0.9870119932211208,100,60,agg,umap,44,0.34527498,exact_dedup_clean
97747.24,F_new,0.9690049544007823,100,60,all3,umap,55,0.36964107,exact_dedup_clean
97747.24,F_new,0.9690049544007823,100,60,any2,umap,55,0.36964107,exact_dedup_clean
97747.24,F_new,0.9690049544007823,100,60,kmeans,umap,55,0.36964107,exact_dedup_clean
83778.516,F_new,1.1211077304336328,100,60,birch,umap,55,0.32033357,exact_dedup_clean
91003.79,F_new,1.0202250418606926,100,60,agg,umap,55,0.34687468,exact_dedup_clean
154.38913,F_new,3.1860152074901857,2048,60,all3,raw,11,0.050931036,fixed_6000
239.4989,F_new,2.593588716689387,100,60,all3,pca,11,0.07794171,fixed_6000
129730.305,F_new,1.052381800153091,100,60,all3,umap,11,0.34887084,fixed_6000
153.83197,F_new,3.2399434178737705,2048,60,all3,raw,22,0.050195456,fixed_6000
239.034,F_new,2.724394623102493,100,60,all3,pca,22,0.07519424,fixed_6000
131263.16,F_new,1.0730647256317496,100,60,all3,umap,22,0.34754324,fixed_6000
153.3797,F_new,3.3164980394794594,2048,60,all3,raw,33,0.048258737,fixed_6000
239.09076,F_new,2.629732879584849,100,60,all3,pca,33,0.07712108,fixed_6000
121331.33,F_new,1.0691034769632495,100,60,all3,umap,33,0.34596616,fixed_6000
153.73547,F_new,3.1895178820659185,2048,60,all3,raw,44,0.053346857,fixed_6000
240.13942,F_new,2.6244797297482245,100,60,all3,pca,44,0.0757184,fixed_6000
133570.06,F_new,1.045221476216911,100,60,all3,umap,44,0.35454607,fixed_6000
154.27086,F_new,3.2191939586177454,2048,60,all3,raw,55,0.050391458,fixed_6000
239.25891,F_new,2.6606475460235,100,60,all3,pca,55,0.07629782,fixed_6000
129252.945,F_new,1.0377874816012764,100,60,all3,umap,55,0.34535426,fixed_6000
127188.1,F_new,0.7133687563294255,50,20,all3,umap,11,0.58877295,exact_dedup_clean
108318.39,F_new,1.0151108592353282,50,60,all3,umap,11,0.35532984,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,all3,umap,11,0.6212232,exact_dedup_clean
106586.4,F_new,1.0020071933130204,100,60,all3,umap,11,0.36775863,exact_dedup_clean
128074.97,F_new,0.6082994488222548,200,20,all3,umap,11,0.62612414,exact_dedup_clean
105474.17,F_new,1.004474739737112,200,60,all3,umap,11,0.35434103,exact_dedup_clean
127188.1,F_new,0.7133687563294255,50,20,all3,umap,11,0.58877295,exact_dedup_clean
136267.55,F_new,0.7125978093755386,50,20,all3,umap,22,0.5975913,exact_dedup_clean
118035.02,F_new,0.6321160008700535,50,20,all3,umap,33,0.6306232,exact_dedup_clean
130709.1,F_new,0.6578304164154212,50,20,all3,umap,44,0.5880786,exact_dedup_clean
117294.36,F_new,0.6825334315404213,50,20,all3,umap,55,0.59044254,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,all3,umap,11,0.6212232,exact_dedup_clean
137332.78,F_new,0.6583683883225814,100,20,all3,umap,22,0.58490306,exact_dedup_clean
116053.49,F_new,0.6229825388250164,100,20,all3,umap,33,0.6110426,exact_dedup_clean
129647.57,F_new,0.661929688456729,100,20,all3,umap,44,0.5869485,exact_dedup_clean
116766.555,F_new,0.6565084276765072,100,20,all3,umap,55,0.58995986,exact_dedup_clean
106586.4,F_new,1.0020071933130204,100,60,all3,umap,11,0.36775863,exact_dedup_clean
113980.56,F_new,0.957142435051976,100,60,all3,umap,22,0.3663163,exact_dedup_clean
96042.92,F_new,1.0009178618942824,100,60,all3,umap,33,0.35154092,exact_dedup_clean
105124.05,F_new,1.0282796476266491,100,60,all3,umap,44,0.35108194,exact_dedup_clean
97747.24,F_new,0.9690049544007823,100,60,all3,umap,55,0.36964107,exact_dedup_clean
128074.97,F_new,0.6082994488222548,200,20,all3,umap,11,0.62612414,exact_dedup_clean
136748.42,F_new,0.6333155141206368,200,20,all3,umap,22,0.6205571,exact_dedup_clean
113911.5,F_new,0.6722572736640141,200,20,all3,umap,33,0.62369424,exact_dedup_clean
126258.945,F_new,0.6636718792626006,200,20,all3,umap,44,0.6164622,exact_dedup_clean
114634.984,F_new,0.6604298627857031,200,20,all3,umap,55,0.6234226,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,all3,umap,11,0.5886709,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,any2,umap,11,0.5886709,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,kmeans,umap,11,0.5886709,exact_dedup_clean
52523.574,V_new,0.4008852132923543,100,60,birch,umap,11,0.61505723,exact_dedup_clean
57041.27,V_new,0.3583792557612968,100,60,agg,umap,11,0.6218302,exact_dedup_clean
58029.7,V_new,0.4111126203408402,100,60,all3,umap,22,0.58293134,exact_dedup_clean
58029.7,V_new,0.4111126203408402,100,60,any2,umap,22,0.58293134,exact_dedup_clean
58029.7,V_new,0.4111126203408402,100,60,kmeans,umap,22,0.58293134,exact_dedup_clean
54534.477,V_new,0.475475885296918,100,60,birch,umap,22,0.60514843,exact_dedup_clean
58239.984,V_new,0.3630917520662392,100,60,agg,umap,22,0.617936,exact_dedup_clean
62953.168,V_new,0.5289532071819864,100,60,all3,umap,33,0.52493703,exact_dedup_clean
62953.168,V_new,0.5289532071819864,100,60,any2,umap,33,0.52493703,exact_dedup_clean
62953.168,V_new,0.5289532071819864,100,60,kmeans,umap,33,0.52493703,exact_dedup_clean
57741.293,V_new,0.6395095252488155,100,60,birch,umap,33,0.4902146,exact_dedup_clean
65348.793,V_new,0.4449459580059081,100,60,agg,umap,33,0.5705636,exact_dedup_clean
62668.63,V_new,0.4182041440109541,100,60,all3,umap,44,0.5556543,exact_dedup_clean
62668.63,V_new,0.4182041440109541,100,60,any2,umap,44,0.5556543,exact_dedup_clean
62668.63,V_new,0.4182041440109541,100,60,kmeans,umap,44,0.5556543,exact_dedup_clean
58922.227,V_new,0.5412744141236521,100,60,birch,umap,44,0.5380331,exact_dedup_clean
62832.223,V_new,0.46266523985205477,100,60,agg,umap,44,0.5718496,exact_dedup_clean
52827.734,V_new,0.36526747593144193,100,60,all3,umap,55,0.61052936,exact_dedup_clean
52827.734,V_new,0.36526747593144193,100,60,any2,umap,55,0.61052936,exact_dedup_clean
52827.734,V_new,0.36526747593144193,100,60,kmeans,umap,55,0.61052936,exact_dedup_clean
52227.008,V_new,0.4649358319486697,100,60,birch,umap,55,0.60784274,exact_dedup_clean
54069.973,V_new,0.4082755278749616,100,60,agg,umap,55,0.6275505,exact_dedup_clean
107.797005,V_new,2.9970372812993347,2048,60,all3,raw,11,0.055849466,fixed_6000
168.78294,V_new,2.484524613668029,100,60,all3,pca,11,0.0889788,fixed_6000
88400.8,V_new,0.9388574002660057,100,60,all3,umap,11,0.3989021,fixed_6000
107.53305,V_new,2.979066510933933,2048,60,all3,raw,22,0.060890563,fixed_6000
169.09045,V_new,2.471093963882056,100,60,all3,pca,22,0.08469973,fixed_6000
88037.47,V_new,0.9382986968203337,100,60,all3,umap,22,0.39528608,fixed_6000
107.39105,V_new,3.078701226335785,2048,60,all3,raw,33,0.05297374,fixed_6000
168.72855,V_new,2.4821029434996533,100,60,all3,pca,33,0.08714835,fixed_6000
90483.34,V_new,0.8918474434448015,100,60,all3,umap,33,0.4119248,fixed_6000
107.427605,V_new,3.0862293687678704,2048,60,all3,raw,44,0.056903146,fixed_6000
168.58197,V_new,2.439864546232974,100,60,all3,pca,44,0.089454815,fixed_6000
92038.66,V_new,0.9334968990352209,100,60,all3,umap,44,0.39508334,fixed_6000
107.37612,V_new,3.064210685471499,2048,60,all3,raw,55,0.056131687,fixed_6000
169.76883,V_new,2.482615736407383,100,60,all3,pca,55,0.09311977,fixed_6000
89522.35,V_new,0.9531791970364574,100,60,all3,umap,55,0.39518255,fixed_6000
28381.965,V_new,1.0991771182556176,50,20,all3,umap,11,0.8144845,exact_dedup_clean
71283.91,V_new,0.5281201124140873,50,60,all3,umap,11,0.5542975,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,all3,umap,11,0.5886709,exact_dedup_clean
20621.42,V_new,1.1499570991028996,200,20,all3,umap,11,0.7981944,exact_dedup_clean
47644.68,V_new,0.4132805946233315,200,60,all3,umap,11,0.6322501,exact_dedup_clean
28381.965,V_new,1.0991771182556176,50,20,all3,umap,11,0.8144845,exact_dedup_clean
27719.436,V_new,1.1340483463119766,50,20,all3,umap,22,0.799884,exact_dedup_clean
32683.814,V_new,1.0946606648414534,50,20,all3,umap,33,0.8071284,exact_dedup_clean
36832.93,V_new,0.6134788235256942,50,20,all3,umap,44,0.80471295,exact_dedup_clean
25683.736,V_new,1.0671569541896384,50,20,all3,umap,55,0.7901224,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,all3,umap,22,0.8065413,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,all3,umap,33,0.80071205,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,all3,umap,44,0.8141326,exact_dedup_clean
20868.783,V_new,1.2210368782859766,100,20,all3,umap,55,0.8202227,exact_dedup_clean
54727.64,V_new,0.39930932184714346,100,60,all3,umap,11,0.5886709,exact_dedup_clean
58029.7,V_new,0.4111126203408402,100,60,all3,umap,22,0.58293134,exact_dedup_clean
62953.168,V_new,0.5289532071819864,100,60,all3,umap,33,0.52493703,exact_dedup_clean
62668.63,V_new,0.4182041440109541,100,60,all3,umap,44,0.5556543,exact_dedup_clean
52827.734,V_new,0.36526747593144193,100,60,all3,umap,55,0.61052936,exact_dedup_clean
20621.42,V_new,1.1499570991028996,200,20,all3,umap,11,0.7981944,exact_dedup_clean
21115.938,V_new,1.198451885268472,200,20,all3,umap,22,0.79057324,exact_dedup_clean
28270.924,V_new,1.1643718624967105,200,20,all3,umap,33,0.79746705,exact_dedup_clean
26645.5,V_new,0.7656736447434414,200,20,all3,umap,44,0.801615,exact_dedup_clean
19525.375,V_new,1.1286183034453756,200,20,all3,umap,55,0.7526963,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,all3,umap,11,0.48728475,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,any2,umap,11,0.48728475,exact_dedup_clean
61177.055,M_new,0.7805032436922507,100,60,kmeans,umap,11,0.48728475,exact_dedup_clean
54849.637,M_new,0.7911893507232562,100,60,birch,umap,11,0.45720297,exact_dedup_clean
59387.38,M_new,0.8253594318807806,100,60,agg,umap,11,0.44528335,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,all3,umap,22,0.44730216,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,any2,umap,22,0.44730216,exact_dedup_clean
61987.07,M_new,0.8106285180072906,100,60,kmeans,umap,22,0.44730216,exact_dedup_clean
54208.082,M_new,0.8446051661314908,100,60,birch,umap,22,0.45220298,exact_dedup_clean
60144.832,M_new,0.7955767236927007,100,60,agg,umap,22,0.4472854,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,all3,umap,33,0.45534235,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,any2,umap,33,0.45534235,exact_dedup_clean
62699.742,M_new,0.8202143629406622,100,60,kmeans,umap,33,0.45534235,exact_dedup_clean
