true_class,Corn - common rust,Corn - northern leaf blight,Bell pepper - bacterial spot,Potato - early blight,Potato - late blight,Squash - powdery mildew,Tomato - bacterial spot,Tomato - late blight,Tomato - septoria leaf spot,Tomato - two-spotted spider mite,Tomato - mosaic virus,Tomato - yellow leaf curl virus,Rejected
Corn - common rust,0.9991610738255033,0.0008389261744966443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corn - northern leaf blight,0.0020304568527918783,0.9979695431472081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bell pepper - bacterial spot,0.0,0.0,0.915346038114343,0.0,0.0,0.0,0.0,0.0,0.004012036108324975,0.0,0.0,0.0,0.080641925777332
Potato - early blight,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potato - late blight,0.0,0.0,0.0,0.0,0.9902000000000001,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.008
Squash - powdery mildew,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomato - bacterial spot,0.0,0.0,0.0,0.0,0.0,0.0,0.996238834038552,0.0037611659614480487,0.0,0.0,0.0,0.0,0.0
Tomato - late blight,0.0,0.0,0.0,0.0004208311415044713,0.0967911625460284,0.0,0.0009468700683850605,0.6109416096791163,0.0,0.0,0.0,0.00021041557075223566,0.2906891109942136
Tomato - septoria leaf spot,0.0,0.0,0.0,0.0018068887634105023,0.0,0.0,0.005872388481084133,0.0,0.788481084133258,0.003500846979107849,0.0,0.0,0.20033879164313947
Tomato - two-spotted spider mite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996420047732698,0.0,0.00011933174224343676,0.00023866348448687351
Tomato - mosaic virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tomato - yellow leaf curl virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0315475079335449,0.0,0.0,0.0015680418144483853,0.0,0.7751726712712339,0.19171177898077282
