calinski_harabasz,dataset,davies_bouldin,dim,k,method,reduction,seed,silhouette,subset
127959.76,F_new,0.6508218074244703,100,20,all3,umap,11,0.6212232,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,any2,umap,11,0.6212232,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,kmeans,umap,11,0.6212232,exact_dedup_clean
119086.42,F_new,0.7388448813915035,100,20,birch,umap,11,0.61544394,exact_dedup_clean
125389.01,F_new,0.7120186116755998,100,20,agg,umap,11,0.5731623,exact_dedup_clean
137332.78,F_new,0.6583683883225814,100,20,all3,umap,22,0.58490306,exact_dedup_clean
137332.78,F_new,0.6583683883225814,100,20,any2,umap,22,0.58490306,exact_dedup_clean
137332.78,F_new,0.6583683883225814,100,20,kmeans,umap,22,0.58490306,exact_dedup_clean
126167.61,F_new,0.7424535511343973,100,20,birch,umap,22,0.61172694,exact_dedup_clean
131547.48,F_new,0.696981933475831,100,20,agg,umap,22,0.57049483,exact_dedup_clean
116053.49,F_new,0.6229825388250164,100,20,all3,umap,33,0.6110426,exact_dedup_clean
116053.49,F_new,0.6229825388250164,100,20,any2,umap,33,0.6110426,exact_dedup_clean
116053.49,F_new,0.6229825388250164,100,20,kmeans,umap,33,0.6110426,exact_dedup_clean
108922.06,F_new,0.7384163559266484,100,20,birch,umap,33,0.5849675,exact_dedup_clean
112411.83,F_new,0.662458363388891,100,20,agg,umap,33,0.57396835,exact_dedup_clean
129647.57,F_new,0.661929688456729,100,20,all3,umap,44,0.5869485,exact_dedup_clean
129647.57,F_new,0.661929688456729,100,20,any2,umap,44,0.5869485,exact_dedup_clean
129647.57,F_new,0.661929688456729,100,20,kmeans,umap,44,0.5869485,exact_dedup_clean
119302.6,F_new,0.7343296032731674,100,20,birch,umap,44,0.6133113,exact_dedup_clean
125368.016,F_new,0.7187557218095357,100,20,agg,umap,44,0.5725729,exact_dedup_clean
116766.555,F_new,0.6565084276765072,100,20,all3,umap,55,0.58995986,exact_dedup_clean
116766.555,F_new,0.6565084276765072,100,20,any2,umap,55,0.58995986,exact_dedup_clean
116766.555,F_new,0.6565084276765072,100,20,kmeans,umap,55,0.58995986,exact_dedup_clean
107487.78,F_new,0.7399174114031201,100,20,birch,umap,55,0.6230636,exact_dedup_clean
112977.734,F_new,0.6702183639262348,100,20,agg,umap,55,0.57865167,exact_dedup_clean
385.03745,F_new,2.871075183108015,2048,20,all3,raw,11,0.114148624,fixed_6000
574.50085,F_new,2.3532576706317103,100,20,all3,pca,11,0.14566451,fixed_6000
166030.38,F_new,0.7530531972135471,100,20,all3,umap,11,0.53638774,fixed_6000
385.84595,F_new,3.015576700706451,2048,20,all3,raw,22,0.08728267,fixed_6000
570.14374,F_new,2.386592442884659,100,20,all3,pca,22,0.16337541,fixed_6000
168410.67,F_new,0.7034955623176441,100,20,all3,umap,22,0.58560264,fixed_6000
385.91663,F_new,2.7709421787159725,2048,20,all3,raw,33,0.12783201,fixed_6000
572.9393,F_new,2.322992108502579,100,20,all3,pca,33,0.15232733,fixed_6000
156103.94,F_new,0.8175715224590565,100,20,all3,umap,33,0.51672715,fixed_6000
385.1836,F_new,2.8831286509756096,2048,20,all3,raw,44,0.113092855,fixed_6000
568.5116,F_new,2.444696611337052,100,20,all3,pca,44,0.16289476,fixed_6000
170196.38,F_new,0.7153827263140504,100,20,all3,umap,44,0.57339287,fixed_6000
388.46405,F_new,2.765179988553915,2048,20,all3,raw,55,0.120828755,fixed_6000
569.4785,F_new,2.485060543963658,100,20,all3,pca,55,0.1289146,fixed_6000
160488.16,F_new,0.7665943865235743,100,20,all3,umap,55,0.5528267,fixed_6000
6900.572,F_new,1.0408361801685804,50,4,all3,umap,11,0.4777714,exact_dedup_clean
9481.036,F_new,0.8320216495420488,50,6,all3,umap,11,0.6145061,exact_dedup_clean
19253.63,F_new,0.5770406232273967,50,8,all3,umap,11,0.7662955,exact_dedup_clean
33858.113,F_new,0.38259975422699555,50,10,all3,umap,11,0.8270622,exact_dedup_clean
79804.1,F_new,0.25234183345526723,50,12,all3,umap,11,0.82829624,exact_dedup_clean
131869.45,F_new,0.33091678567834926,50,15,all3,umap,11,0.7864634,exact_dedup_clean
127188.1,F_new,0.7133687563294255,50,20,all3,umap,11,0.58877295,exact_dedup_clean
126936.91,F_new,0.7957917869263135,50,25,all3,umap,11,0.5021175,exact_dedup_clean
121677.18,F_new,0.839380240700877,50,30,all3,umap,11,0.46913403,exact_dedup_clean
7242.397,F_new,1.0065438339886885,100,4,all3,umap,11,0.4822823,exact_dedup_clean
10239.006,F_new,0.8222822072956104,100,6,all3,umap,11,0.6280486,exact_dedup_clean
20184.324,F_new,0.5535627599578996,100,8,all3,umap,11,0.7665752,exact_dedup_clean
34273.586,F_new,0.37711019250477584,100,10,all3,umap,11,0.82437336,exact_dedup_clean
79801.24,F_new,0.2536192791598068,100,12,all3,umap,11,0.82761216,exact_dedup_clean
130170.805,F_new,0.39030654073163334,100,15,all3,umap,11,0.7325353,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,all3,umap,11,0.6212232,exact_dedup_clean
123187.44,F_new,0.7510177543197563,100,25,all3,umap,11,0.5524334,exact_dedup_clean
119802.39,F_new,0.9818933591564497,100,30,all3,umap,11,0.39679265,exact_dedup_clean
7175.5522,F_new,0.8830644387365174,200,4,all3,umap,11,0.48635742,exact_dedup_clean
10130.326,F_new,0.9062356960240195,200,6,all3,umap,11,0.6299013,exact_dedup_clean
20470.238,F_new,0.5159985987726636,200,8,all3,umap,11,0.7696416,exact_dedup_clean
36982.74,F_new,0.41749252830217437,200,10,all3,umap,11,0.8238595,exact_dedup_clean
79101.25,F_new,0.2526297863932024,200,12,all3,umap,11,0.8260186,exact_dedup_clean
128360.19,F_new,0.3353099570855556,200,15,all3,umap,11,0.7832662,exact_dedup_clean
128074.97,F_new,0.6082994488222548,200,20,all3,umap,11,0.62612414,exact_dedup_clean
122244.93,F_new,0.8585934059584989,200,25,all3,umap,11,0.48224086,exact_dedup_clean
118732.76,F_new,0.8834583018346204,200,30,all3,umap,11,0.4679385,exact_dedup_clean
33858.113,F_new,0.38259975422699555,50,10,all3,umap,11,0.8270622,exact_dedup_clean
49427.652,F_new,0.40630712992082,50,10,all3,umap,22,0.8185669,exact_dedup_clean
32749.203,F_new,0.5000881568718966,50,10,all3,umap,33,0.8374402,exact_dedup_clean
36796.48,F_new,0.3999119878749688,50,10,all3,umap,44,0.8253187,exact_dedup_clean
34454.492,F_new,0.4253628266219419,50,10,all3,umap,55,0.83637506,exact_dedup_clean
127188.1,F_new,0.7133687563294255,50,20,all3,umap,11,0.58877295,exact_dedup_clean
136267.55,F_new,0.7125978093755386,50,20,all3,umap,22,0.5975913,exact_dedup_clean
118035.02,F_new,0.6321160008700535,50,20,all3,umap,33,0.6306232,exact_dedup_clean
130709.1,F_new,0.6578304164154212,50,20,all3,umap,44,0.5880786,exact_dedup_clean
117294.36,F_new,0.6825334315404213,50,20,all3,umap,55,0.59044254,exact_dedup_clean
130170.805,F_new,0.39030654073163334,100,15,all3,umap,11,0.7325353,exact_dedup_clean
137384.88,F_new,0.3390660681938584,100,15,all3,umap,22,0.77602607,exact_dedup_clean
118021.12,F_new,0.3272069857292016,100,15,all3,umap,33,0.7893711,exact_dedup_clean
129146.64,F_new,0.3380964205869048,100,15,all3,umap,44,0.7837812,exact_dedup_clean
117375.34,F_new,0.3860906831179528,100,15,all3,umap,55,0.73452574,exact_dedup_clean
127959.76,F_new,0.6508218074244703,100,20,all3,umap,11,0.6212232,exact_dedup_clean
137332.78,F_new,0.6583683883225814,100,20,all3,umap,22,0.58490306,exact_dedup_clean
116053.49,F_new,0.6229825388250164,100,20,all3,umap,33,0.6110426,exact_dedup_clean
129647.57,F_new,0.661929688456729,100,20,all3,umap,44,0.5869485,exact_dedup_clean
116766.555,F_new,0.6565084276765072,100,20,all3,umap,55,0.58995986,exact_dedup_clean
119802.39,F_new,0.9818933591564497,100,30,all3,umap,11,0.39679265,exact_dedup_clean
129888.734,F_new,0.8860228296355508,100,30,all3,umap,22,0.43454015,exact_dedup_clean
106235.85,F_new,0.9159231603585333,100,30,all3,umap,33,0.44220346,exact_dedup_clean
118702.695,F_new,0.8616240676645732,100,30,all3,umap,44,0.4797606,exact_dedup_clean
109044.586,F_new,0.8649715865952955,100,30,all3,umap,55,0.44987476,exact_dedup_clean
128360.19,F_new,0.3353099570855556,200,15,all3,umap,11,0.7832662,exact_dedup_clean
136862.88,F_new,0.3401567637444369,200,15,all3,umap,22,0.7758237,exact_dedup_clean
117234.15,F_new,0.3278861357158095,200,15,all3,umap,33,0.78867316,exact_dedup_clean
129549.92,F_new,0.39203480342881075,200,15,all3,umap,44,0.731556,exact_dedup_clean
115886.055,F_new,0.33424972050233226,200,15,all3,umap,55,0.7854873,exact_dedup_clean
128074.97,F_new,0.6082994488222548,200,20,all3,umap,11,0.62612414,exact_dedup_clean
136748.42,F_new,0.6333155141206368,200,20,all3,umap,22,0.6205571,exact_dedup_clean
113911.5,F_new,0.6722572736640141,200,20,all3,umap,33,0.62369424,exact_dedup_clean
126258.945,F_new,0.6636718792626006,200,20,all3,umap,44,0.6164622,exact_dedup_clean
114634.984,F_new,0.6604298627857031,200,20,all3,umap,55,0.6234226,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,all3,umap,11,0.7912705,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,any2,umap,11,0.7912705,exact_dedup_clean
23149.984,V_new,1.1990069680075206,100,20,kmeans,umap,11,0.7912705,exact_dedup_clean
22468.348,V_new,1.2178059027263535,100,20,birch,umap,11,0.8084312,exact_dedup_clean
23338.648,V_new,1.1688190035278005,100,20,agg,umap,11,0.8087251,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,all3,umap,22,0.8065413,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,any2,umap,22,0.8065413,exact_dedup_clean
21830.83,V_new,1.129909094278119,100,20,kmeans,umap,22,0.8065413,exact_dedup_clean
21876.822,V_new,1.2001556205864348,100,20,birch,umap,22,0.74320847,exact_dedup_clean
22435.158,V_new,1.2825114468631147,100,20,agg,umap,22,0.80935264,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,all3,umap,33,0.80071205,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,any2,umap,33,0.80071205,exact_dedup_clean
27937.846,V_new,1.1890812511236892,100,20,kmeans,umap,33,0.80071205,exact_dedup_clean
28986.398,V_new,1.1592483667467983,100,20,birch,umap,33,0.73474705,exact_dedup_clean
29886.498,V_new,1.2406209214871395,100,20,agg,umap,33,0.800961,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,all3,umap,44,0.8141326,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,any2,umap,44,0.8141326,exact_dedup_clean
28520.83,V_new,0.6657030087851423,100,20,kmeans,umap,44,0.8141326,exact_dedup_clean
28558.408,V_new,0.7637350555487733,100,20,birch,umap,44,0.7338901,exact_dedup_clean
